cityid,city,country,date,Lat,Lng,max_temp,humidity,wind_speed,clouds
76,mataura,NZ,1603937000,-46.19,168.86,61.0,70,5.01,71
77,thompson,CA,1603936711,55.74,-97.86,6.8,77,2.24,40
78,busselton,AU,1603936826,-33.65,115.33,73.0,34,10.6,0
79,rapar,IN,1603937001,23.57,70.63,76.17,62,5.08,0
80,sitka,US,1603937001,57.05,-135.33,44.6,81,5.82,40
81,maymyo,MM,1603936517,22.03,96.47,78.8,94,3.36,75
82,sehithwa,BW,1603937001,-20.47,22.72,76.57,22,10.11,0
83,laguna de perlas,NI,1603937002,12.34,-83.67,79.75,89,6.31,67
84,san juan,AR,1603937002,-31.54,-68.54,60.35,36,9.06,0
85,altamira,BR,1603937002,-3.2,-52.21,75.2,94,2.64,0
86,nalut,LY,1603937003,30.33,10.85,53.69,66,11.95,0
87,clyde river,CA,1603937003,70.47,-68.59,17.6,78,19.46,90
88,monroe,US,1603937003,43.15,-77.68,46.99,81,6.93,20
89,kavaratti,IN,1603937004,10.57,72.64,81.86,73,5.5,40
90,ponerihouen,NC,1603937005,-21.08,165.4,78.4,65,11.65,36
91,cidreira,BR,1603937005,-30.18,-50.21,65.25,89,4.0,4
92,america dourada,BR,1603937006,-11.46,-41.44,72.81,85,4.5,100
93,ravar,IR,1603937006,31.27,56.81,48.0,51,2.95,0
94,tiksi,RU,1603937006,71.69,128.87,0.48,90,14.88,97
95,hobart,AU,1603936517,-42.88,147.33,69.01,55,8.05,20
96,saint-pierre,RE,1603937007,-21.34,55.48,69.8,68,6.93,20
97,lavrentiya,RU,1603937007,65.58,-171.0,27.07,87,3.91,100
98,upernavik,GL,1603937008,72.79,-56.15,13.66,84,11.65,98
99,lashio,MM,1603937008,22.93,97.75,70.34,90,1.77,100
100,maracai,BR,1603936983,-22.61,-50.67,75.74,35,3.91,5
101,omboue,GA,1603936541,-1.57,9.26,75.78,92,4.68,99
102,kodiak,US,1603937009,57.79,-152.41,42.8,48,6.93,90
103,cozumel,MX,1603937009,20.51,-86.95,79.0,94,5.82,40
104,beloha,MG,1603936532,-25.17,45.05,68.65,79,16.4,1
105,kruisfontein,ZA,1603937010,-34.0,24.73,61.0,93,1.01,100
106,honiara,SB,1603936469,-9.43,159.95,84.2,79,3.36,90
107,deputatskiy,RU,1603937011,69.3,139.9,-1.91,91,1.12,89
108,daokou,CN,1603937012,35.56,114.51,60.67,31,1.23,92
109,suntar,RU,1603937012,62.14,117.63,10.87,86,5.91,0
110,avarua,CK,1603936948,-21.21,-159.78,71.6,88,10.29,45
111,kenai,US,1603936475,60.55,-151.26,33.8,74,6.93,20
112,butaritari,KI,1603936969,3.07,172.79,81.46,73,3.87,71
113,rocha,UY,1603937013,-34.48,-54.33,56.82,63,14.16,51
114,narsaq,GL,1603937014,60.92,-46.05,30.2,80,1.12,100
115,alice springs,AU,1603937014,-23.7,133.88,93.2,7,12.75,0
116,marmarion,GR,1603937014,38.05,24.32,59.0,93,6.93,75
117,victoria,HK,1603937015,22.29,114.16,78.01,67,1.99,94
118,trapani,IT,1603936513,37.83,12.67,64.99,64,5.99,0
119,havoysund,NO,1603936545,71.0,24.66,35.6,78,8.05,99
120,khatanga,RU,1603937015,71.97,102.5,-0.6,87,8.32,0
121,lebu,CL,1603937016,-37.62,-73.65,48.99,76,20.36,0
122,lagoa,PT,1603937016,39.05,-27.98,66.56,82,14.61,8
123,mezen,RU,1603937016,65.85,44.24,40.55,91,10.16,71
124,hofn,IS,1603936523,64.25,-15.21,44.33,82,25.95,98
125,grindavik,IS,1603937017,63.84,-22.43,44.6,56,26.4,0
126,mount isa,AU,1603936816,-20.73,139.5,86.0,9,6.93,0
127,bure,ET,1603937018,10.7,37.07,54.14,79,4.0,28
128,salme,NP,1603937018,28.04,85.09,60.8,82,2.17,20
129,mangrol,IN,1603937018,21.12,70.12,75.87,67,8.97,0
130,ribeira grande,PT,1603937018,38.52,-28.7,67.98,88,21.74,68
131,tautira,PF,1603936893,-17.73,-149.15,75.2,94,9.17,75
132,port blair,IN,1603936544,11.67,92.75,82.4,74,4.0,30
133,polunochnoye,RU,1603937019,60.87,60.42,35.42,86,9.62,100
134,fortuna,US,1603937020,40.6,-124.16,55.99,71,1.32,1
135,torbay,CA,1603937020,47.67,-52.73,34.0,80,4.7,75
136,san carlos de bariloche,AR,1603936821,-41.15,-71.31,42.8,52,10.29,0
137,karoi,ZW,1603937021,-16.81,29.69,67.14,48,10.0,0
138,ponta do sol,PT,1603937021,32.67,-17.1,68.0,68,6.93,40
139,nkan,GA,1603937021,0.38,9.78,78.8,88,9.17,75
140,padang,ID,1603936932,-0.95,100.35,84.04,58,1.72,95
141,iqaluit,CA,1603937022,63.75,-68.51,17.6,61,5.82,90
142,bathsheba,BB,1603937022,13.22,-59.52,77.0,94,19.46,75
143,invermere,CA,1603937022,50.52,-116.04,34.0,85,3.18,99
